Name,Team,W,L,ERA,G,GS,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,playerid
Joe Smith,MIN,1,0,0.00,15,0,0,0,0,7,0,12.1,45,8,1,0,0,2,1,0,0,0,9,3281
Josh Hader,MIL,0,0,0.00,14,0,0,0,14,0,0,13.1,48,2,0,0,0,5,0,0,0,0,21,14212
Andrew Heaney,LAD,1,0,0.00,2,2,0,0,0,0,0,10.1,40,4,1,0,0,3,0,1,0,0,16,15423
J.P. Feyereisen,TBR,3,0,0.00,16,2,0,0,0,4,1,19.0,64,4,0,0,0,4,0,0,0,0,20,16610
Ryan Helsley,STL,2,0,0.00,11,0,0,0,1,4,1,13.2,45,2,1,0,0,2,0,0,0,0,24,18138
Jarlin Garcia,SFG,1,1,0.00,13,0,0,0,0,1,0,13.1,49,4,2,0,0,6,0,0,0,0,10,18282
Cody Poteet,MIA,0,0,0.43,9,1,0,0,0,1,0,21.0,78,10,1,1,0,8,0,0,0,0,18,18769
Clay Holmes,NYY,4,0,0.44,19,0,0,0,3,7,0,20.1,74,13,1,1,0,2,0,1,1,0,19,13649
A.J. Puk,OAK,1,0,0.52,13,0,0,0,0,3,0,17.1,65,11,1,1,0,3,0,0,0,0,17,19343
Taylor Rogers,SDP,0,0,0.52,17,0,0,0,15,0,1,17.1,64,8,1,1,0,3,0,3,0,0,20,13449
Rafael Montero,HOU,1,0,0.55,17,0,0,0,3,4,0,16.1,63,11,3,1,1,4,0,0,0,0,18,12760
Dany Jimenez,OAK,1,1,0.55,16,0,0,0,8,1,0,16.1,65,10,3,1,0,5,0,0,0,0,17,21170
Joe Mantiply,ARI,1,0,0.57,18,0,0,0,2,4,1,15.2,56,10,1,1,0,1,0,0,0,0,13,14857
Tyler Kinley,COL,1,0,0.63,16,0,0,0,0,7,0,14.1,59,10,4,1,0,5,0,1,1,0,15,18297
Penn Murfee,SEA,0,0,0.73,10,0,0,0,0,0,0,12.1,45,5,1,1,0,3,0,1,0,0,16,25174
Sam Moll,OAK,1,0,0.73,15,0,0,0,0,5,0,12.1,50,5,1,1,0,8,2,1,1,0,16,14874
Danny Coulombe,MIN,0,0,0.75,9,0,0,0,0,0,0,12.0,48,5,2,1,0,7,0,0,0,0,9,13293
Cionel Perez,BAL,1,0,0.77,15,0,0,0,0,3,0,11.2,47,12,1,1,1,5,0,1,1,0,12,19614
Clarke Schmidt,NYY,2,2,0.82,5,0,0,0,0,0,0,11.0,43,6,2,1,1,4,1,1,0,0,9,19899
David Bednar,PIT,0,0,0.90,16,0,0,0,8,4,0,20.0,71,9,2,2,2,3,1,0,0,1,27,19569
Alexis Diaz,CIN,1,0,1.02,17,0,0,0,1,2,0,17.2,74,8,2,2,1,11,0,2,2,0,21,21132
Neil Pallante,STL,0,0,1.02,13,0,0,0,0,3,0,17.2,77,18,2,2,1,8,0,0,0,0,11,26108
Scott Effross,CHC,1,1,1.06,18,1,0,0,0,2,0,17.0,68,13,5,2,0,2,0,0,0,0,21,18384
Jason Adam,TBR,0,1,1.10,16,0,0,0,1,2,0,16.1,60,4,3,2,0,4,1,2,1,0,21,11861
Wily Peralta,DET,1,0,1.10,10,1,0,0,0,1,0,16.1,67,11,3,2,1,11,0,0,0,0,15,7738
Zac Gallen,ARI,3,0,1.14,7,7,0,0,0,0,0,39.1,150,20,5,5,1,8,0,5,0,0,39,19291
Rowan Wick,CHC,1,0,1.23,14,0,0,0,4,2,0,14.2,63,14,3,2,0,7,0,0,1,0,18,14646
Ryne Stanek,HOU,0,0,1.23,16,0,0,0,1,1,0,14.2,57,7,2,2,1,8,0,0,1,0,12,15947
